start_time_iso,model,project_id,num_model_requests,input_tokens,input_cached_tokens,output_tokens,batch
2026-08-23T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,20350,25582534,0,2008853,false
2026-08-24T00:00:00Z,gpt-6-sol,proj_main,8318,43001558,6000000,3440615,false
2026-08-24T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,18110,20889209,0,2214718,false
2026-08-25T00:00:00Z,gpt-6-sol,proj_main,7012,38206462,6000000,3802223,false
2026-08-25T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,21189,22015236,0,2161047,false
2026-08-26T00:00:00Z,gpt-6-sol,proj_main,8099,36463253,6000000,3030817,false
2026-08-26T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,19041,23845460,0,1886890,false
2026-08-27T00:00:00Z,gpt-6-sol,proj_main,7458,37687118,6000000,3040469,false
2026-08-27T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,19824,19640786,0,2072829,false
2026-08-28T00:00:00Z,gpt-6-sol,proj_main,6583,40983343,6000000,3307516,false
2026-08-28T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,17086,23449418,0,1944898,false
2026-08-29T00:00:00Z,gpt-6-sol,proj_main,6661,37374810,6000000,3587307,false
2026-08-29T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,19312,23559967,0,2149511,false
2026-08-30T00:00:00Z,gpt-6-sol,proj_main,8399,40979875,6000000,3900109,false
2026-08-30T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,20989,22902436,0,1583204,false
